bin_z,masa,densidad_z,z_centro
"(-19.8, -19.6]",1.0,0.0017683882565766149,-19.70000000000004
"(-14.8, -14.6]",1.0,0.0017683882565766149,-14.700000000000054
"(-13.6, -13.4]",1.0,0.0017683882565766149,-13.500000000000059
"(-13.2, -13.0]",1.0,0.0017683882565766149,-13.10000000000006
"(-13.0, -12.8]",1.0,0.0017683882565766149,-12.90000000000006
"(-12.8, -12.6]",1.0,0.0017683882565766149,-12.700000000000061
"(-12.2, -12.0]",1.0,0.0017683882565766149,-12.100000000000064
"(-10.8, -10.6]",1.0,0.0017683882565766149,-10.700000000000069
"(-10.2, -10.0]",1.0,0.0017683882565766149,-10.10000000000007
"(-9.6, -9.4]",1.0,0.0017683882565766149,-9.500000000000073
"(-8.6, -8.4]",1.0,0.0017683882565766149,-8.500000000000076
"(-8.4, -8.2]",1.0,0.0017683882565766149,-8.300000000000077
"(-8.0, -7.8]",1.0,0.0017683882565766149,-7.9000000000000785
"(-7.8, -7.6]",1.0,0.0017683882565766149,-7.700000000000079
"(-7.6, -7.4]",1.0,0.0017683882565766149,-7.50000000000008
"(-7.4, -7.2]",1.0,0.0017683882565766149,-7.300000000000081
"(-7.2, -7.0]",1.0,0.0017683882565766149,-7.100000000000081
"(-6.8, -6.6]",2.0,0.0035367765131532297,-6.700000000000083
"(-6.4, -6.2]",1.0,0.0017683882565766149,-6.300000000000084
"(-6.0, -5.8]",1.0,0.0017683882565766149,-5.900000000000086
"(-5.8, -5.6]",3.0,0.005305164769729844,-5.700000000000086
"(-5.6, -5.4]",3.0,0.005305164769729844,-5.500000000000087
"(-5.4, -5.2]",2.0,0.0035367765131532297,-5.300000000000088
"(-5.2, -5.0]",1.0,0.0017683882565766149,-5.1000000000000885
"(-5.0, -4.8]",1.0,0.0017683882565766149,-4.900000000000089
"(-4.8, -4.6]",3.0,0.005305164769729844,-4.70000000000009
"(-4.6, -4.4]",9.0,0.015915494309189534,-4.500000000000091
"(-4.4, -4.2]",8.0,0.014147106052612919,-4.300000000000091
"(-4.2, -4.0]",10.0,0.017683882565766147,-4.100000000000092
"(-4.0, -3.8]",21.0,0.03713615338810891,-3.9000000000000927
"(-3.8, -3.6]",26.0,0.04597809467099199,-3.7000000000000934
"(-3.6, -3.4]",42.0,0.07427230677621782,-3.500000000000094
"(-3.4, -3.2]",54.0,0.0954929658551372,-3.300000000000095
"(-3.2, -3.0]",110.0,0.19452270822342763,-3.1000000000000956
"(-3.0, -2.8]",169.0,0.2988576153614479,-2.9000000000000963
"(-2.8, -2.6]",307.0,0.5428951947690208,-2.700000000000097
"(-2.6, -2.4]",547.0,0.9673083763474083,-2.5000000000000977
"(-2.4, -2.2]",1048.0,1.8532708928922923,-2.3000000000000984
"(-2.2, -2.0]",1776.0,3.140657543680068,-2.100000000000099
"(-2.0, -1.8]",3073.0,5.434257112459938,-1.9000000000000998
"(-1.8, -1.6]",5558.0,9.828701930052825,-1.7000000000001005
"(-1.6, -1.4]",10259.0,18.14189512421949,-1.5000000000001013
"(-1.4, -1.2]",17330.0,30.646168486472735,-1.300000000000102
"(-1.2, -1.0]",30090.0,53.21080264039034,-1.1000000000001027
"(-1.0, -0.8]",51298.0,90.71478078586719,-0.9000000000001034
"(-0.8, -0.6]",82740.0,146.31644434914912,-0.7000000000001041
"(-0.6, -0.4]",124285.0,219.7841344686246,-0.5000000000001048
"(-0.4, -0.2]",169928.0,300.498679663551,-0.3000000000001055
"(-0.2, -1.07e-13]",201077.0,355.58220546765597,-0.10000000000010623
"(-1.07e-13, 0.2]",200237.0,354.0967593321316,0.09999999999989306
"(0.2, 0.4]",169346.0,299.46947769822344,0.29999999999989235
"(0.4, 0.6]",124110.0,219.47466652372367,0.49999999999989164
"(0.6, 0.8]",81694.0,144.46671023276997,0.6999999999998909
"(0.8, 1.0]",49998.0,88.41587605231759,0.8999999999998902
"(1.0, 1.2]",29719.0,52.55473059720042,1.0999999999998895
"(1.2, 1.4]",17023.0,30.103273291703715,1.2999999999998888
"(1.4, 1.6]",9850.0,17.418624327279655,1.499999999999888
"(1.6, 1.8]",5420.0,9.584664350645253,1.6999999999998874
"(1.8, 2.0]",3095.0,5.473161654104623,1.8999999999998867
"(2.0, 2.2]",1742.0,3.080532342956463,2.0999999999998877
"(2.2, 2.4]",1010.0,1.786072139142381,2.299999999999887
"(2.4, 2.6]",545.0,0.9637715998342551,2.4999999999998828
"(2.6, 2.8]",327.0,0.5782629599005531,2.699999999999882
"(2.8, 3.0]",192.0,0.33953054526271004,2.899999999999885
"(3.0, 3.2]",101.0,0.1786072139142381,3.099999999999884
"(3.2, 3.4]",60.0,0.1061032953945969,3.29999999999988
"(3.4, 3.6]",40.0,0.07073553026306459,3.499999999999879
"(3.6, 3.8]",24.0,0.042441318157838755,3.699999999999882
"(3.8, 4.0]",11.0,0.019452270822342764,3.8999999999998813
"(4.0, 4.2]",14.0,0.024757435592072607,4.099999999999877
"(4.2, 4.4]",9.0,0.015915494309189534,4.299999999999876
"(4.4, 4.6]",8.0,0.014147106052612919,4.499999999999879
"(4.6, 4.8]",8.0,0.014147106052612919,4.6999999999998785
"(4.8, 5.0]",3.0,0.005305164769729844,4.899999999999874
"(5.0, 5.2]",5.0,0.008841941282883074,5.0999999999998735
"(5.2, 5.4]",1.0,0.0017683882565766149,5.299999999999876
"(5.4, 5.6]",2.0,0.0035367765131532297,5.499999999999876
"(5.6, 5.8]",2.0,0.0035367765131532297,5.699999999999871
"(5.8, 6.0]",2.0,0.0035367765131532297,5.899999999999871
