arandela,v_circ,radio_medio
0,253.89075477662266,0.1
1,245.84915274359233,0.30000000000000004
2,244.28404575127317,0.5
3,238.86506353617273,0.7000000000000001
4,244.43356175947324,0.9
5,239.98443575726074,1.1
6,238.92757132829945,1.3000000000000003
7,237.84312250885816,1.5
8,235.99273771602634,1.7000000000000002
9,232.32194073158712,1.9
10,231.70996598698912,2.1
11,230.753276265224,2.3000000000000003
12,228.25195771978022,2.5
13,226.86834244509384,2.7
14,222.73672998118198,2.9000000000000004
15,222.61117936395763,3.1
16,222.58013491670374,3.3000000000000003
17,220.3495297851857,3.5
18,219.99207404795558,3.7
19,217.21326095080354,3.9000000000000004
20,216.60920465212575,4.1
21,214.2072615054607,4.300000000000001
22,213.30247137715756,4.5
23,212.183105402171,4.700000000000001
24,209.956018872381,4.9
25,209.18577417947225,5.1
26,209.08914727507045,5.300000000000001
27,207.24285104752389,5.5
28,205.01193852151803,5.700000000000001
29,202.4603845876918,5.9
30,204.27990529954351,6.1
31,202.15543133491587,6.300000000000001
32,202.7443201695044,6.5
33,200.23443665961415,6.700000000000001
34,198.85311606054282,6.9
35,198.29965891194897,7.1
36,196.35754544790754,7.300000000000001
37,194.41602909322725,7.5
38,196.22821131729143,7.700000000000001
39,193.1832917962288,7.9
40,191.90292113417374,8.100000000000001
41,192.5019670268441,8.3
42,191.8578782739463,8.5
43,191.18700608870216,8.7
44,188.81476088752106,8.9
45,188.99096921285658,9.100000000000001
46,187.74287656193005,9.3
47,186.58157423903273,9.5
48,186.53150749056402,9.700000000000001
49,187.12690138653957,9.9
50,185.09997473687585,10.100000000000001
51,182.75856263795012,10.3
52,184.42821413905082,10.5
53,181.51481490052095,10.700000000000001
54,180.8615068339512,10.9
55,180.05094800241352,11.100000000000001
56,181.50853268219183,11.3
57,180.91842971847828,11.5
58,178.60138692781115,11.700000000000001
59,176.62522856534622,11.9
60,176.33379755684751,12.100000000000001
61,175.69181966963612,12.3
62,175.0448867739366,12.5
63,173.57334996882406,12.700000000000001
64,173.38526358732713,12.9
65,172.8900606955613,13.100000000000001
66,171.71734257937769,13.3
67,172.6508697453248,13.5
68,169.49897315999812,13.700000000000001
69,172.3688054907517,13.9
70,171.0066429360371,14.100000000000001
71,170.58635850300288,14.3
72,169.37708355687354,14.5
73,168.5723852536131,14.700000000000001
74,167.8816272239012,14.9
75,167.10952352738454,15.100000000000001
76,166.21095312447005,15.3
77,165.22267768054934,15.5
78,165.32414818258562,15.700000000000001
79,164.96032888660852,15.9
80,164.94567807966126,16.1
81,163.371415366934,16.3
82,163.47235071280195,16.5
83,162.1689015336993,16.700000000000003
84,162.53253830993276,16.9
85,160.27921916340492,17.1
86,160.94004335264555,17.3
87,159.3949982114984,17.5
88,162.11063464946272,17.700000000000003
89,159.72470001772894,17.9
90,159.41638493031874,18.1
91,159.0073385069206,18.3
92,157.24266612728212,18.5
93,156.5718503435173,18.700000000000003
94,156.30247143477592,18.9
95,158.2516509545338,19.1
96,156.39191651713813,19.300000000000004
97,155.69054562433232,19.5
98,155.3731750424371,19.700000000000003
99,155.33823084169086,19.9
100,153.8277564518389,20.1
101,156.2927656449688,20.300000000000004
102,152.81091303568334,20.5
103,154.16252030575507,20.700000000000003
104,154.86851988465025,20.9
105,153.75407056610064,21.1
106,151.7613176132625,21.300000000000004
107,149.72099447397167,21.5
108,149.6842217917293,21.700000000000003
109,149.52078937970253,21.9
110,150.110422159867,22.1
111,149.12797307056954,22.300000000000004
112,147.24097331514068,22.5
113,148.54756193045785,22.700000000000003
114,147.54910466355187,22.9
115,148.082182855956,23.1
116,146.2770614537932,23.300000000000004
117,147.1749281184634,23.5
118,148.10302273457296,23.700000000000003
119,145.61493275600677,23.9
120,145.5596560267664,24.1
121,146.78222330041268,24.300000000000004
122,146.02433417974663,24.5
123,144.56453691031305,24.700000000000003
124,144.74917343592364,24.9
125,144.92637776753523,25.1
126,143.7952228417847,25.300000000000004
127,145.118046523162,25.5
128,142.3897497872367,25.700000000000003
129,143.47254347631522,25.9
130,142.4501706332642,26.1
131,142.14205249273553,26.300000000000004
132,141.5414349535958,26.5
133,143.04351710999447,26.700000000000003
134,140.5461425623606,26.9
135,140.43440992673507,27.1
136,140.41045415781625,27.300000000000004
137,140.68855467627037,27.5
138,140.90154713114333,27.700000000000003
139,138.98129098848995,27.9
140,139.90411561005672,28.1
141,137.91616105985707,28.300000000000004
142,139.50159461426904,28.5
143,138.11190343297517,28.700000000000003
144,137.06664805490146,28.9
145,138.53729397131858,29.1
146,137.47671383567464,29.300000000000004
147,136.66794073812267,29.5
148,136.7877109839037,29.700000000000003
149,136.26296048109924,29.9
