radio_medio,Phi
0.1,-0.03381111425742574
0.30000000000000004,-0.04356636076411959
0.5,-0.054658470998003986
0.7000000000000001,-0.06506583530670469
0.9,-0.07385536017758046
1.1,-0.08251418885558583
1.3000000000000003,-0.09004803035357416
1.5,-0.09723036577614924
1.7000000000000002,-0.1034291736978248
1.9,-0.1095363270120989
2.1,-0.11465067414088528
2.3000000000000003,-0.11941427082572793
2.5,-0.1241485788204718
2.7,-0.12845087296556829
2.9000000000000004,-0.13255134793864182
3.1,-0.13593150186391484
3.3000000000000003,-0.1393867472614359
3.5,-0.14252338604970008
3.7,-0.14560224713050526
3.9000000000000004,-0.1483411532119969
4.1,-0.1511107581492319
4.300000000000001,-0.15357278636596136
4.5,-0.15574721698067095
4.700000000000001,-0.15777505452456916
4.9,-0.15978832800040804
5.1,-0.16161506151734953
5.300000000000001,-0.16325933069609505
5.5,-0.16483485809670967
5.700000000000001,-0.16610293970356071
5.9,-0.16747820797491947
6.1,-0.16866391131945582
6.300000000000001,-0.16977366128392313
6.5,-0.17083563832487308
6.700000000000001,-0.1717989225041038
6.9,-0.17269951668453842
7.1,-0.17350637726658213
7.300000000000001,-0.1742825813217367
7.5,-0.17489239689508063
7.700000000000001,-0.17549008490325926
7.9,-0.1760863646120744
8.100000000000001,-0.17664046018022464
8.3,-0.17712122480905912
8.5,-0.1775829093906599
8.7,-0.17792796950810252
8.9,-0.1782860314953376
9.100000000000001,-0.17863544485660912
9.3,-0.1788015127083109
9.5,-0.17891260491527208
9.700000000000001,-0.17908827861663743
9.9,-0.1792377418826381
10.100000000000001,-0.1793340236501336
10.3,-0.17948794264343265
10.5,-0.17954835031996952
10.700000000000001,-0.17963141880852254
10.9,-0.1796980247399321
11.100000000000001,-0.1796862935186019
11.3,-0.1796688882797982
11.5,-0.17961917993826623
11.700000000000001,-0.17956087898555675
11.9,-0.17950815147046467
12.100000000000001,-0.17940278795636722
12.3,-0.17926973274367938
12.5,-0.17914850395328372
12.700000000000001,-0.1789041077167152
12.9,-0.17874930006666148
13.100000000000001,-0.1785138639500801
13.3,-0.1783521186767912
13.5,-0.17815948652025773
13.700000000000001,-0.1779533296102474
13.9,-0.17773206593698293
14.100000000000001,-0.17745668732784906
14.3,-0.17716495172575342
14.5,-0.17689372039652437
14.700000000000001,-0.17658686283518127
14.9,-0.17627352226025098
15.100000000000001,-0.17597332331170118
15.3,-0.17565820415332328
15.5,-0.1753592629223921
15.700000000000001,-0.17507259428316665
15.9,-0.17474282761209983
16.1,-0.17438065105024528
16.3,-0.17404873302067353
16.5,-0.17369175903339187
16.700000000000003,-0.17333560908628218
16.9,-0.17297999944855333
17.1,-0.17266892375007306
17.3,-0.17226435991387778
17.5,-0.17194031087309294
17.700000000000003,-0.17157377457544767
17.9,-0.17121711040165352
18.1,-0.17084931937682998
18.3,-0.17046348099939893
18.5,-0.17006901438138478
18.700000000000003,-0.16969678407411362
18.9,-0.1693076283625205
19.1,-0.16893427775142658
19.300000000000004,-0.16852231520128483
19.5,-0.1681298301405056
19.700000000000003,-0.16779028561494336
19.9,-0.16739273118084516
20.1,-0.16695045249987558
20.300000000000004,-0.16655671736613956
20.5,-0.1661547204351007
20.700000000000003,-0.16576319210955986
20.9,-0.16532956493804124
21.1,-0.16492780148997674
21.300000000000004,-0.16450995893338335
21.5,-0.16409188850937162
21.700000000000003,-0.16371501812036307
21.9,-0.16331498481302223
22.1,-0.16289280662141983
22.300000000000004,-0.16248842222859955
22.5,-0.16205261567397003
22.700000000000003,-0.16162979304524025
22.9,-0.16123952144011178
23.1,-0.1607945685805809
23.300000000000004,-0.16040007674262902
23.5,-0.15998722705033827
23.700000000000003,-0.15956954974431453
23.9,-0.15917145884147105
24.1,-0.1587917529193809
24.300000000000004,-0.15837900639603303
24.5,-0.1579728227762132
24.700000000000003,-0.15758052975466577
24.9,-0.15717450281273843
25.1,-0.15676620760925855
25.300000000000004,-0.1563725269175131
25.5,-0.15597186615818986
25.700000000000003,-0.15556238015485774
25.9,-0.1551683508694645
26.1,-0.154771132463124
26.300000000000004,-0.1543830621748222
26.5,-0.15397358421267118
26.700000000000003,-0.15357555605445486
26.9,-0.1531781702973867
27.1,-0.15276808197704878
27.300000000000004,-0.1523709336723929
27.5,-0.15196298441002143
27.700000000000003,-0.1515705521371069
27.9,-0.1511734179516863
28.1,-0.1507661723803423
28.300000000000004,-0.150377296257376
28.5,-0.14999282152661308
28.700000000000003,-0.14959782080136577
28.9,-0.14920962636240961
29.1,-0.14879381001511974
29.300000000000004,-0.14840877016518203
29.5,-0.14802151579810852
29.700000000000003,-0.14764990289990235
29.9,-0.147272617208789
