radio_medio,Phi
0.1,-0.08938227811881186
0.30000000000000004,-0.11619601368770761
0.5,-0.15718495429141716
0.7000000000000001,-0.19713628988587728
0.9,-0.2336095832297447
1.1,-0.2676212926339691
1.3000000000000003,-0.29927854135280546
1.5,-0.32765713485009995
1.7000000000000002,-0.3538427683950617
1.9,-0.37763166271962123
2.1,-0.3993664125702046
2.3000000000000003,-0.4201583464841373
2.5,-0.4396128467293082
2.7,-0.45655409636801175
2.9000000000000004,-0.47170945760772137
3.1,-0.48545776143179614
3.3000000000000003,-0.4972052608330808
3.5,-0.5074127870065696
3.7,-0.5162010054282625
3.9000000000000004,-0.5238135730017943
4.1,-0.5300281655010972
4.300000000000001,-0.5350148043850266
4.5,-0.5390938898778049
4.700000000000001,-0.5422970850967878
4.9,-0.5448702741358905
5.1,-0.5470283669496177
5.300000000000001,-0.5488280827711751
5.5,-0.5496376901726958
5.700000000000001,-0.5500962718137168
5.9,-0.5501396675156751
6.1,-0.5495048743861661
6.300000000000001,-0.5481650064323123
6.5,-0.5466502258790954
6.700000000000001,-0.5446443675406654
6.9,-0.5422661617012027
7.1,-0.5397784384016335
7.300000000000001,-0.5367854964100807
7.5,-0.5337159248860152
7.700000000000001,-0.5304198762550316
7.9,-0.5268764446272622
8.100000000000001,-0.523179872679916
8.3,-0.5195671295675219
8.5,-0.5155971989507117
8.7,-0.5114128494759222
8.9,-0.5071962030490956
9.100000000000001,-0.5029158360421931
9.3,-0.4985744717772282
9.5,-0.49428641615829916
9.700000000000001,-0.4898532993691372
9.9,-0.4854033697636602
10.100000000000001,-0.4808869569527769
10.3,-0.4762615882555091
10.5,-0.47168707843062563
10.700000000000001,-0.46705004876833933
10.9,-0.46238629291349415
11.100000000000001,-0.4577375485794072
11.3,-0.4531711421953809
11.5,-0.4486304238900965
11.700000000000001,-0.44410047643278344
11.9,-0.4396776094924796
12.100000000000001,-0.4352232320799933
12.3,-0.4308206967051459
12.5,-0.4264355189384849
12.700000000000001,-0.42212004334383113
12.9,-0.417800018690024
13.100000000000001,-0.41356396297000225
13.3,-0.40937413639651155
13.5,-0.4052479167950522
13.700000000000001,-0.4011718456499525
13.9,-0.3971564436601683
14.100000000000001,-0.3932079745585419
14.3,-0.3892706995930354
14.5,-0.3853711456465071
14.700000000000001,-0.381550779364669
14.9,-0.37775619017515605
15.100000000000001,-0.37397068936163164
15.3,-0.37025322986732895
15.5,-0.3665895246777627
15.700000000000001,-0.3629558794758295
15.9,-0.3593684707439783
16.1,-0.35577161711446487
16.3,-0.35225035993742704
16.5,-0.34876415683231315
16.700000000000003,-0.3453356981881323
16.9,-0.34190516782557245
17.1,-0.33853325005204365
17.3,-0.33521542624703765
17.5,-0.3319257581463916
17.700000000000003,-0.3287082418479181
17.9,-0.32552970559801125
18.1,-0.3223971735290867
18.3,-0.3193441538145456
18.5,-0.3163250610394032
18.700000000000003,-0.3133585852253889
18.9,-0.31043440920639115
19.1,-0.30755480693052717
19.300000000000004,-0.3047137132531992
19.5,-0.3019123693851597
19.700000000000003,-0.2991517478259986
19.9,-0.2964228406793628
20.1,-0.2937306923128202
20.300000000000004,-0.29107718231220125
20.5,-0.2884714595761182
20.700000000000003,-0.285898011122651
20.9,-0.2833649645758576
21.1,-0.280881158542723
21.300000000000004,-0.278432889449791
21.5,-0.276019565680666
21.700000000000003,-0.27363665363900275
21.9,-0.2712844984425368
22.1,-0.2689758872770462
22.300000000000004,-0.26670039145778207
22.5,-0.26447356625127766
22.700000000000003,-0.26228446285449974
22.9,-0.26012251493864896
23.1,-0.2579872033756114
23.300000000000004,-0.25587673479721895
23.5,-0.2537930370767201
23.700000000000003,-0.2517256333711657
23.9,-0.2496888702857621
24.1,-0.2476826988295091
24.300000000000004,-0.24570459383564455
24.5,-0.24376685796375655
24.700000000000003,-0.24186642120076104
24.9,-0.2400051483350066
25.1,-0.23816291266802114
25.300000000000004,-0.2363433424959487
25.5,-0.23455012094702166
25.700000000000003,-0.2327766085156219
25.9,-0.2310255036234122
26.1,-0.22928937043484918
26.300000000000004,-0.22757686135964406
26.5,-0.22588533173163275
26.700000000000003,-0.2242267130291
26.9,-0.22259275688487415
27.1,-0.2209860912708018
27.300000000000004,-0.21940863700450527
27.5,-0.21785318834696918
27.700000000000003,-0.2163180265643839
27.9,-0.21480410273610265
28.1,-0.2133039230137717
28.300000000000004,-0.21182175512066706
28.5,-0.21035118372057118
28.700000000000003,-0.2088976607727953
28.9,-0.20746440390886128
29.1,-0.20604656151025735
29.300000000000004,-0.2046482214450018
29.5,-0.20326825812582622
29.700000000000003,-0.20190803800074067
29.9,-0.2005704731801612
