arandela,v_circ,radio_medio
0,156.0278370478278,0.1
1,166.51419671899677,0.30000000000000004
2,163.9808634026907,0.5
3,161.34974550394335,0.7000000000000001
4,157.4739048266096,0.9
5,155.9318785814185,1.1
6,154.01712803590573,1.3000000000000003
7,152.9028444274071,1.5
8,150.65470047976518,1.7000000000000002
9,148.92931692773254,1.9
10,148.00585700265145,2.1
11,146.8800847731896,2.3000000000000003
12,146.9177161301773,2.5
13,146.022993056227,2.7
14,145.67516835852985,2.9000000000000004
15,147.05924109928864,3.1
16,145.7197481911468,3.3000000000000003
17,145.21893808682867,3.5
18,146.82963596049117,3.7
19,146.76830599862555,3.9000000000000004
20,144.22606817130657,4.1
21,146.76382173541978,4.300000000000001
22,143.99040353166154,4.5
23,146.7778614346848,4.700000000000001
24,145.5680080890868,4.9
25,146.6058617005211,5.1
26,147.98095088971016,5.300000000000001
27,148.03064189036562,5.5
28,145.08797069452436,5.700000000000001
29,148.69384849906896,5.9
30,146.45151688023083,6.1
31,146.7549037411555,6.300000000000001
32,146.06598832278766,6.5
33,148.58563156954995,6.700000000000001
34,147.09093934403043,6.9
35,145.29642307725615,7.1
36,145.74274806702752,7.300000000000001
37,147.64271935027983,7.5
38,145.8855209990937,7.700000000000001
39,146.6101266092752,7.9
40,143.74955589294493,8.100000000000001
41,145.6824635723261,8.3
42,146.07975702275945,8.5
43,153.1568913770178,8.7
44,148.15669072373925,8.9
45,145.93303270534275,9.100000000000001
46,148.01735027069773,9.3
47,144.37230640075614,9.5
48,145.84610563614376,9.700000000000001
49,143.926353851903,9.9
50,149.59152330416077,10.100000000000001
51,144.06933396880527,10.3
52,144.44046452699163,10.5
53,142.4843401549882,10.700000000000001
54,139.2044106035084,10.9
55,148.19964549458396,11.100000000000001
56,140.75721916891123,11.3
57,148.35716864909713,11.5
58,144.73085772524743,11.700000000000001
59,142.67308500084974,11.9
60,143.91716179697903,12.100000000000001
61,146.63937203009834,12.3
62,145.66486081054316,12.5
63,140.2352374323067,12.700000000000001
64,139.60563693860698,12.9
65,146.16952869486266,13.100000000000001
66,143.17355789941718,13.3
67,146.46599106688643,13.5
68,140.3215737936934,13.700000000000001
69,145.01829084206628,13.9
70,138.58778919059174,14.100000000000001
71,141.08530029825894,14.3
72,144.5633128581206,14.5
73,134.6162917825313,14.700000000000001
74,141.52580457850755,14.9
75,134.65658699258938,15.100000000000001
76,135.40149597409146,15.3
77,139.4177061194925,15.5
78,135.46840561372477,15.700000000000001
79,138.7721333357233,15.9
80,142.80109343522182,16.1
81,144.24994685270465,16.3
82,137.65705915765787,16.5
83,137.9539148975564,16.700000000000003
84,138.6646853700198,16.9
85,137.9902850461573,17.1
86,130.67700751633598,17.3
87,138.03463376347304,17.5
88,136.87582214381067,17.700000000000003
89,136.1928526844542,17.9
90,139.62184241537256,18.1
91,130.5411404032475,18.3
92,135.82164875397226,18.5
93,140.39001088683418,18.700000000000003
94,140.15208807657325,18.9
95,130.53995240481424,19.1
96,132.3524708614198,19.300000000000004
97,138.37816128680223,19.5
98,127.45424096623252,19.700000000000003
99,138.15375552538512,19.9
100,132.09294061601437,20.1
101,134.46708663725872,20.300000000000004
102,125.88275803695765,20.5
103,135.01793571902297,20.700000000000003
104,138.96924845800606,20.9
105,130.8240545598461,21.1
106,132.9579418904754,21.300000000000004
107,132.29196733544362,21.5
108,129.01969472061248,21.700000000000003
109,129.74455801695038,21.9
110,129.03440725568055,22.1
111,128.07762276643373,22.300000000000004
112,140.83154297956432,22.5
113,131.4800028526224,22.700000000000003
114,136.5142525134305,22.9
115,133.13789308182615,23.1
116,130.64298044739118,23.300000000000004
117,129.0346370288466,23.5
118,130.3431094166148,23.700000000000003
119,125.3548423736314,23.9
120,124.43305376975887,24.1
121,127.3426001306289,24.300000000000004
122,132.75268336082263,24.5
123,133.26431003795042,24.700000000000003
124,123.85018105589496,24.9
125,131.3176566811648,25.1
126,133.5551865306399,25.300000000000004
127,124.96197986550582,25.5
128,123.79422794400789,25.700000000000003
129,127.26312418813136,25.9
130,131.4659913481515,26.1
131,124.92172325452847,26.300000000000004
132,124.82294220837092,26.5
133,132.03508738576886,26.700000000000003
134,134.9570484111036,26.9
135,129.95644207133287,27.1
136,129.32242302329252,27.300000000000004
137,128.91667142722522,27.5
138,117.49215593261916,27.700000000000003
139,126.16007793148667,27.9
140,126.90841703243495,28.1
141,125.97604650250973,28.300000000000004
142,132.82294826489277,28.5
143,125.52466631056001,28.700000000000003
144,126.78487173033417,28.9
145,124.85408056739372,29.1
146,120.22031538366917,29.300000000000004
147,124.73995388292022,29.5
148,127.81956273560813,29.700000000000003
149,130.61512210177602,29.9
